0.05,1761,9.689590558
0.1,1762,9.500047008
0.15,1763,9.295526191
0.2,1764,10.08695632
0.25,1765,10.09342738
0.3,1766,10.14292857
0.35,1767,9.850432143
0.4,1768,9.059869047
0.45,1769,9.764595237
0.5,1770,9.735422619
0.55,1771,9.756142857
0.6,1772,10.39317262
0.65,1773,10.32557143
0.7,1774,10.40062323
0.75,1775,10.40369643
0.8,1776,9.919466269
0.85,1777,9.697744443
0.9,1778,10.34881273
0.95,1779,10.38093269
1,1780,10.5655691
1.05,1781,9.909976191
1.1,1782,8.976017858
1.15,1783,9.533228968
1.2,1784,9.004482143
1.25,1785,8.84663135
1.3,1786,9.505211111
1.35,1787,9.894250396
1.4,1788,9.57534643
1.45,1789,9.958482937
1.5,1790,10.06786667
1.55,1791,11.11098529
1.6,1792,10.94034314
1.65,1793,10.77140104
1.7,1794,11.1614375
1.75,1795,10.57404167
1.8,1796,17.74616414
1.85,1797,16.61350189
1.9,1798,16.73635827
1.95,1799,17.60903535
2,1800,17.92714899
2.05,1801,16.82905903
2.1,1802,18.39151263
2.15,1803,17.92362317
2.2,1804,18.23355303
2.25,1805,17.78813636
2.3,1806,17.99039141
2.35,1807,16.11133681
2.4,1808,10.41066502
2.45,1809,11.0635
2.5,1810,11.18692982
2.55,1811,11.70890351
2.6,1812,10.81435526
2.65,1813,17.41741204
2.7,1814,16.55925439
2.75,1815,17.05818056
2.8,1816,17.03714284
2.85,1817,17.47725052
2.9,1818,17.90187526
2.95,1819,17.83336875
3,1820,17.04619555
3.05,1821,16.72176936
3.1,1822,16.973777
3.15,1823,16.54614207
3.2,1824,17.31938036
3.25,1825,17.965275
3.3,1826,17.17716872
3.35,1827,17.4180807
3.4,1828,17.03923493
3.45,1829,16.39413972
3.5,1830,16.55223551
3.55,1831,16.03290761
3.6,1832,15.83146677
3.65,1833,17.2652601
3.7,1834,17.36960606
3.75,1835,16.46540586
3.8,1836,16.78142123
3.85,1837,16.43431707
3.9,1838,17.24563294
3.95,1839,16.73502822
4,1840,17.15647611
4.05,1841,16.94804399
4.1,1842,17.09489654
4.15,1843,17.4153088
4.2,1844,16.63632993
4.25,1845,16.79961527
4.3,1846,17.33649638
4.35,1847,16.87191183
4.4,1848,16.76358092
4.45,1849,17.0515137
4.5,1850,17.57414056
4.55,1851,17.84780823
4.6,1852,17.54805876
4.65,1853,17.67105033
4.7,1854,17.80680504
4.75,1855,17.57134394
4.8,1856,17.61389129
4.85,1857,17.16664079
4.9,1858,16.87029436
4.95,1859,17.39861421
5,1860,16.84800841
5.05,1861,16.93581628
5.1,1862,15.17582084
5.15,1863,15.60207012
5.2,1864,15.89438356
5.25,1865,16.92984023
5.3,1866,17.18374095
5.35,1867,17.15310439
5.4,1868,17.29961035
5.45,1869,17.59887698
5.5,1870,17.78163459
5.55,1871,17.62122344
5.6,1872,17.88746187
5.65,1873,18.11043603
5.7,1874,18.24008037
5.75,1875,18.06193897
5.8,1876,18.45827305
5.85,1877,18.69011512
5.9,1878,18.87828952
5.95,1879,18.30785573
6,1880,18.39408099
6.05,1881,18.43511322
6.1,1882,18.30520364
6.15,1883,18.1362778
6.2,1884,17.83426542
6.25,1885,17.91520708
6.3,1886,18.22755462
6.35,1887,18.28233849
6.4,1888,18.30765894
6.45,1889,18.59856208
6.5,1890,18.55285313
6.55,1891,18.52529293
6.6,1892,18.4454798
6.65,1893,18.08166498
6.7,1894,18.58104124
6.75,1895,18.4594495
6.8,1896,18.68238216
6.85,1897,18.7189798
6.9,1898,18.82243343
6.95,1899,18.84763973
7,1900,18.90824748
7.05,1901,18.79122559
7.1,1902,18.8295261
7.15,1903,18.62769865
7.2,1904,18.38166077
7.25,1905,18.50194949
7.3,1906,18.62914226
7.35,1907,18.35804461
7.4,1908,18.47399495
7.45,1909,18.52031061
7.5,1910,18.44883838
7.55,1911,18.50127694
7.6,1912,18.54213468
7.65,1913,18.61262626
7.7,1914,18.88986027
7.75,1915,18.88634848
7.8,1916,18.646617
7.85,1917,18.20570034
7.9,1918,18.53508081
7.95,1919,18.81188131
8,1920,18.75015909
8.05,1921,18.84434427
8.1,1922,18.78747222
8.15,1923,18.70607828
8.2,1924,18.73175168
8.25,1925,18.70254714
8.3,1926,18.85604377
8.35,1927,18.86429966
8.4,1928,18.95694108
8.45,1929,18.74688468
8.5,1930,18.97011364
8.55,1931,18.9491128
8.6,1932,18.96099663
8.65,1933,18.6457904
8.7,1934,18.80013637
8.75,1935,18.89927105
8.8,1936,18.79608418
8.85,1937,19.00463805
8.9,1938,19.03209343
8.95,1939,19.04012963
9,1940,18.92520202
9.05,1941,19.224133
9.1,1942,19.01211448
9.15,1943,18.89981734
9.2,1944,18.94761953
9.25,1945,18.83209007
9.3,1946,19.17213131
9.35,1947,19.02559875
9.4,1948,19.08977509
9.45,1949,19.05956818
9.5,1950,18.83795539
9.55,1951,19.04307408
9.6,1952,19.11243603
9.65,1953,19.17602862
9.7,1954,18.9093628
9.75,1955,18.99356229
9.8,1956,18.52033502
9.85,1957,18.91573906
9.9,1958,19.23573653
9.95,1959,19.18418182
10,1960,19.19133502
10.05,1961,19.19462795
10.1,1962,18.99841077
10.15,1963,19.03720539
10.2,1964,18.85748821
10.25,1965,18.90287458
10.3,1966,19.22712711
10.35,1967,18.84432828
10.4,1968,18.86791751
10.45,1969,19.0059032
10.5,1970,19.00375757
10.55,1971,18.81502273
10.6,1972,18.9874032
10.65,1973,19.25504545
10.7,1974,18.88656397
10.75,1975,19.04511448
10.8,1976,18.73738889
10.85,1977,19.18919108
